a	あ
i	い
u	う
e	え
o	お
ka	か
ki	き
ku	く
ke	け
ko	こ
sa	さ
si	し
su	す
se	せ
so	そ
ta	た
ti	ち
tu	つ
te	て
to	と
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wo	を
yi	い
ye	いぇ
wi	うぃ
wu	う
we	うぇ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
da	だ
di	ぢ
du	づ
de	で
do	ど
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sga	しゃ
sgi	し
sgu	しゅ
sge	しぇ
sgo	しょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hga	ひゃ
hgi	ひぃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
zga	じゃ
zgi	じぃ
zgu	じゅ
zge	じぇ
zgo	じょ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
bga	びゃ
bgi	びぃ
bgu	びゅ
bge	びぇ
bgo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pga	ぴゃ
pgi	ぴぃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ
tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ
twa	たぁ
twi	てぃ
twu	とぅ
twe	てぇ
two	とぉ
dwa	だぁ
dwi	でぃ
dwu	どぅ
dwe	でぇ
dwo	どぉ
jya	じゃ
jyi	じ
jyu	じゅ
jye	じぇ
jyo	じょ
hwa	ふぁ
hwi	ふぃ
hwu	ふ
hwe	ふぇ
hwo	ふぉ
kwa	くぁ
kwi	くぃ
kwu	く
kwe	くぇ
kwo	くぉ
gwa	ぐぁ
gwi	ぐぃ
gwu	ぐ
gwe	ぐぇ
gwo	ぐぉ
fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ
c	ん
v	っ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
v,	゛
v.	゜
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
 	
!	！
"	"
#	#
$	$
%	%
&	&
'	'
(	(
)	)
*	*
+	+
,	、
-	ー
.	。
/	/
:	:
;	;
<	<
=	=
>	>
?	？
@	@
[	「
\	\
]	」
^	^
_	_
`	`
{	{
|	|
}	}
~	~
z<	‥
z-	～
z~	〜
z>	…
z/	・
z(	（
z)	）
z[	『
z]	』
z{	【
z}	】
zK	←
zT	↓
zN	↑
zS	→
z;	゛
z:	゜

kn	かん
ks	きん
kr	くん
kh	けん
kt	こん
sn	さん
ss	しん
sr	すん
sh	せん
st	そん
tn	たん
ts	ちん
tr	つん
th	てん
tt	とん
nn	なん
ns	にん
nr	ぬん
nh	ねん
nt	のん
hn	はん
hs	ひん
hr	ふん
hh	へん
ht	ほん
mn	まん
ms	みん
mr	むん
mh	めん
mt	もん
yn	やん
yr	ゆん
yt	よん
rn	らん
rs	りん
rr	るん
rh	れん
rt	ろん
wn	わん
wt	をん
ys	いん
yh 	いぇん
ws	うぃん
wr	うん
wh	うぇん
gn	がん
gs	ぎん
gr	ぐん
gh	げん
gt	ごん
zn	ざん
zs	じん
zr	ずん
zh	ぜん
zt	ぞん
dn	だん
ds	ぢん
dr	づん
dh	でん
dt	どん
bn	ばん
bs	びん
br	ぶん
bh	べん
bt	ぼん
pn	ぱん
ps	ぴん
pr	ぷん
ph	ぺん
pt	ぽん
kyn	きゃん
kys	きぃん
kyr	きゅん
kyh	きぇん
kyt	きょん
syn	しゃん
sys	しぃん
syr	しゅん
syh	しぇん
syt	しょん
sgn	しゃん
sgs	しん
sgr	しゅん
sgh	しぇん
sgt	しょん
tyn	ちゃん
tys	ちぃん
tyr	ちゅん
tyh	ちぇん
tyt	ちょん
nyn	にゃん
nys	にぃん
nyr	にゅん
nyh	にぇん
nyt	にょん
hyn	ひゃん
hys	ひぃん
hyr	ひゅん
hyh	ひぇん
hyt	ひょん
hgn	ひゃん
hgs	ひぃん
hgr	ひゅん
hgh	ひぇん
hgt	ひょん
fn	ふぁん
fs	ふぃん
fr	ふん
fh	ふぇん
ft	ふぉん
myn	みゃん
mys	みぃん
myr	みゅん
myh	みぇん
myt	みょん
ryn	りゃん
rys	りぃん
ryr	りゅん
ryh	りぇん
ryt	りょん
gyn	ぎゃん
gys	ぎぃん
gyr	ぎゅん
gyh	ぎぇん
gyt	ぎょん
zyn	じゃん
zys	じぃん
zyr	じゅん
zyh	じぇん
zyt	じょん
zgn	じゃん
zgs	じぃん
zgr	じゅん
zgh	じぇん
zgt	じょん
jn	じゃん
js	じん
jr	じゅん
jh	じぇん
jt	じょん
dyn	ぢゃん
dys	ぢぃん
dyr	ぢゅん
dyh	ぢぇん
dyt	ぢょん
byn	びゃん
bys	びぃん
byr	びゅん
byh	びぇん
byt	びょん
bgn	びゃん
bgs	びぃん
bgr	びゅん
bgh	びぇん
bgt	びょん
pyn	ぴゃん
pys	ぴぃん
pyr	ぴゅん
pyh	ぴぇん
pyt	ぴょん
pgn	ぴゃん
pgs	ぴぃん
pgr	ぴゅん
pgh	ぴぇん
pgt	ぴょん
thn	てゃん
ths	てぃん
thr	てゅん
thh	てぇん
tht	てょん
twn	たぁん
tws	てぃん
twr	とぅん
twh	てぇん
twt	とぉん
dwn	だぁん
dws	でぃん
dwr	どぅん
dwh	でぇん
dwt	どぉん
jyn	じゃん
jys	じん
jyr	じゅん
jyh	じぇん
jyt	じょん
hwn	ふぁん
hws	ふぃん
hwr	ふん
hwh	ふぇん
hwt	ふぉん
kwn	くぁん
kws	くぃん
kwr	くん
kwh	くぇん
kwt	くぉん
gwn	ぐぁん
gws	ぐぃん
gwr	ぐん
gwh	ぐぇん
gwt	ぐぉん
fyn	ふゃん
fys	ふぃん
fyr	ふゅん
fyh	ふぇん
fyt	ふょん
ln	ぁん
ls	ぃん
lr	ぅん
lh	ぇん
lt	ぉん
lyn	ゃん
lyr	ゅん
lyt	ょん
vn	ゔぁん
vs	ゔぃん
vr	ゔん
vh	ゔぇん
vt	ゔぉん

kc	こう
sc	そう
tc	とう
nc	のう
hc	ほう
mc	もう
yc	よう
rc	ろう
wc	をう
gc	ごう
zc	ぞう
dc	どう
bc	ぼう
pc	ぽう
kyc	きょう
syc	しょう
sgc	しょう
tyc	ちょう
nyc	にょう
hyc	ひょう
hgc	ひょう
fc	ふぉう
myc	みょう
ryc	りょう
gyc	ぎょう
zyc	じょう
zgc	じょう
jc	じょう
dyc	ぢょう
byc	びょう
bgc	びょう
pyc	ぴょう
pgc	ぴょう
thc	てょう
twc	とぉう
dwc	どぉう
jyc	じょう
hwc	ふぉう
kwc	くぉう
gwc	ぐぉう
fyc	ふょう
lc	ぉう
lyc	ょう
vc	ゔぉう

k,	かい
s,	さい
t,	たい
n,	ない
h,	はい
m,	まい
y,	やい
r,	らい
w,	わい
g,	がい
z,	ざい
d,	だい
b,	ばい
p,	ぱい
ky,	きゃい
sy,	しゃい
sg,	しゃい
ty,	ちゃい
ny,	にゃい
hy,	ひゃい
hg,	ひゃい
f,	ふぁい
my,	みゃい
ry,	りゃい
gy,	ぎゃい
zy,	じゃい
zg,	じゃい
j,	じゃい
dy,	ぢゃい
by,	びゃい
gy,	びゃい
py,	ぴゃい
pg,	ぴゃい
th,	てゃい
tw,	たぁい
dw,	だぁい
jy,	じゃい
hw,	ふぁい
kw,	くぁい
gw,	ぐぁい
fy,	ふゃい
l,	ぁい
ly,	ゃい
v,	ゔぁい

kv	けい
sv	せい
tv	てい
nv	ねい
hv	へい
mv	めい
yv	いぇい
rv	れい
wv	うぇい
gv	げい
zv	ぜい
dv	でい
bv	べい
pv	ぺい
kyv	きぇい
syv	しぇい
sgv	しぇい
tyv	ちぇい
nyv	にぇい
hyv	ひぇい
hgv	ひぇい
fv	ふぇい
myv	みぇい
ryv	りぇい
gyv	ぎぇい
zyv	じぇい
zgv	じぇい
jv	じぇい
dyv	ぢぇい
byv	びぇい
bgv	びぇい
pyv	ぴぇい
pgv	ぴぇい
thv	てぇい
twv	てぇい
dwv	でぇい
jyv	じぇい
hwv	ふぇい
kwv	くぇい
gwv	ぐぇい
fyv	ふぇい
lv	ぇい
lyv	ぇい
vv	ゔぇい

kl	くう
sl	すう
tl	つう
nl	ぬう
hl	ふう
ml	むう
yl	ゆう
rl	るう
wl	うう
gl	ぐう
zl	ずう
dl	づう
bl	ぶう
pl	ぷう
kyl	きゅう
syl	しゅう
sgl	しゅう
tyl	ちゅう
nyl	にゅう
hyl	ひゅう
hgl	ひゅう
fl	ふう
myl	みゅう
ryl	りゅう
gyl	ぎゅう
zyl	じゅう
zgl	じゅう
jl	じゅう
dyl	ぢゅう
byl	びゅう
bgl	びゅう
pyl	ぴゅう
pgl	ぴゅう
thl	てゅう
twl	とぅう
dwl	どぅう
jyl	じゅう
hwl	ふう
kwl	くう
gwl	ぐう
fyl	ふゅう
ll	ぅう
lyl	ゅう
vl	ゔう

k-	こい
s-	そい
t-	とい
n-	のい
h-	ほい
m-	もい
y-	よい
r-	ろい
w-	をい
g-	ごい
z-	ぞい
d-	どい
b-	ぼい
p-	ぽい
ky-	きょい
sy-	しょい
sg-	しょい
ty-	ちょい
ny-	にょい
hy-	ひょい
hg-	ひょい
f-	ふぉい
my-	みょい
ry-	りょい
gy-	ぎょい
zy-	じょい
zg-	じょい
j-	じょい
dy-	ぢょい
by-	びょい
bg-	びょい
py-	ぴょい
pg-	ぴょい
tw-	とぉい
dw-	どぉい
jy-	じょい
hw-	とぉい
kw-	くぉい
gw-	ぐぉい
fy-	ふょい
l-	ぉい
ly-	ょい
v-	ゔう
